"Provincia","Provincia_id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Lima","1501",315,367,434,214,192,217,75,232,279,269,233,228,266,347,278,155,139,143,127,128,88,248,287,249
"Cusco","0801",26,10,24,11,10,23,8,16,32,21,19,6,20,16,16,10,7,25,12,10,4,15,39,29
"Huancavelica","0901",5,1,7,6,5,3,4,11,6,3,0,17,8,2,3,3,1,5,1,0,0,3,5,4
"Tumbes","2401",9,9,16,5,3,18,3,11,5,9,2,4,8,4,6,3,0,0,1,2,0,2,2,3
"Piura","2001",23,14,22,14,3,15,4,19,8,10,7,6,13,13,11,5,1,13,7,6,1,9,24,14
"Huancayo","1201",17,8,10,14,19,17,6,20,21,18,4,10,17,15,7,6,3,5,4,3,3,7,33,7
"Puno","2101",7,15,17,14,13,11,4,17,22,27,8,15,29,7,11,5,2,4,4,7,0,6,15,41
"Ica","1101",13,5,6,3,5,8,2,9,13,11,4,12,6,12,7,1,4,1,0,3,9,6,18,23
"Chiclayo","1401",17,19,17,13,11,30,10,22,26,13,14,16,19,32,26,19,5,12,10,6,0,13,17,12
"Huaura","1508",2,0,0,1,1,3,0,0,2,6,3,0,1,1,4,0,0,0,1,1,0,3,6,0
"Quispicanchi","0812",0,0,0,0,0,1,0,1,1,3,2,0,0,1,0,0,0,1,0,1,0,5,2,5
"Callao","0701",16,19,10,6,14,11,9,15,24,10,13,21,4,8,20,4,5,3,1,4,2,13,19,8
"Leoncio Prado","1006",7,2,2,7,5,20,1,27,11,18,2,0,0,0,0,0,0,0,5,0,0,0,1,0
"Huanuco","1001",9,5,7,8,5,8,0,3,6,4,0,3,2,2,3,1,0,0,5,1,0,7,7,2
"Arequipa","0401",46,26,32,20,19,32,15,33,33,21,18,19,32,29,23,19,8,6,6,25,9,16,45,45
"Trujillo","1301",32,13,10,9,15,17,6,24,14,14,8,7,14,15,9,7,5,4,8,5,5,12,26,8
"Cañete","1505",4,2,3,3,2,4,3,5,1,5,3,10,3,3,4,1,0,1,1,1,0,0,0,1
"Pasco","1901",4,8,11,13,2,11,2,12,10,11,0,0,5,2,1,2,0,0,3,0,1,1,3,0
"Angaraes","0903",0,0,0,0,0,1,0,2,0,2,4,3,0,0,0,1,0,0,0,0,0,0,2,3
"Yauli","1208",0,1,0,1,1,3,1,5,1,21,5,3,6,4,5,6,2,2,4,0,2,3,9,5
"Yungay","0220",0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Santa","0218",24,5,21,11,6,14,2,9,9,11,7,15,30,20,11,7,1,5,2,3,4,2,5,2
"Islay","0407",0,3,0,0,4,1,1,0,0,3,9,17,1,4,4,56,8,0,1,47,1,0,1,1
